"","VSCC_5","VSCC_6","VSCC_4","VSCC_1","VSCC_2","VSCC_3","VSCC_7","VSCC_8"
"MFN2",16.527186470199,20.953869915662,20.0234636190075,27.647331019811,18.0458183403179,17.8718805624796,15.9922859055323,61.0511054665117
"MFNG",5.2296368888457,14.630495676432,88.2342647807823,15.9671256388423,75.6176843262036,68.9875151094975,6.81772871388569,0
"MFRP",66.4752916700729,41.8589451058516,57.1611056868782,0.445559524863354,10.4662383296112,21.5594595971312,23.3865083354538,80.4115835415728
"MFSD1",1.81705655653871,4.08292429635555,18.0115891134395,3.35527645078747,17.6917676357678,19.8798694723942,0.330959078595043,1.58151183978308
"MFSD10",147.519122131685,133.543384831565,112.660179273563,44.6829155749087,77.7870214002237,88.0952228157093,34.1249517603382,53.3634421949043
"MFSD11",2.41846870649207,4.03556857564959,8.17964925227194,2.3370801294015,6.64353069311327,9.51106567563,0,1.70630254480132
"MFSD12",7.84674199941442,10.2452180654702,11.967856520701,28.1287692501503,14.6923923681394,21.1338089811821,7.47049002282516,3.74564348473591
"MFSD13A",3.37089760532558,1.77863596473241,11.3699468820107,13.4818909956784,4.87700968677687,3.24844487495778,3.16714923107643,4.41775478606878
"MFSD14A",3.10672658883414,3.88875845608395,16.9575643580181,5.83583596995906,15.3059068189549,13.5228746244363,1.96010591040777,1.04235428718075
"MFSD14B",13.0539249121578,13.4918058592463,21.6874717043718,5.34393602426537,24.1375695694512,17.0559356308472,1.69292457041328,6.00417188201293
"MFSD2A",6.64685591801674,6.27281399786001,3.52867932649875,1.7694855476244,5.01336996096126,5.03696857653298,1.12507254020303,2.99816493525824
"MFSD2B",1.02899264804537,0.261416724718841,0,0,0,0.0429162514398139,0.292287427618538,0
"MFSD3",239.228178940952,55.0625119739915,24.1174620626119,94.905301531048,30.7332070318675,36.2507147486204,96.0130935305079,48.7034907799558
"MFSD4A",0,0.106682846884145,0,0,0.307464488254518,0.637798068146478,1.91365051898913,0
"MFSD4B",0,0.822977797117312,1.81779636517289,1.33500772936574,1.58491438051179,2.53017794562657,0.532889155513405,0.571776904196094
"MFSD5",102.040573046903,93.4056565631248,133.860486875714,142.30188309938,97.7427687762054,107.001028918662,66.3119316857098,114.204319827719
"MFSD6",0,4.9201860997631,7.95809971592785,0,5.49304152112305,4.87671174058144,0.5486302480969,0
"MFSD6L",67.4840706848184,2.41512460843112,0,44.7890265508714,4.09440678052668,11.3989750775506,55.4622654885634,63.0884468447167
"MFSD8",1.82283084631994,0.991079260953806,0.367370850687631,3.87228037611211,2.28421523088448,2.19083304100396,4.08646930350449,5.96771703041516
"MFSD9",4.19332234231061,2.17494074220991,4.21282401988531,6.46461269687265,6.33279776389036,6.64681303018942,4.14303175791269,0
"MGA",0.930292363445485,2.0987565531186,3.71727799055268,1.88028307014337,6.6070577987206,5.81564676768274,0,2.3406919457909
"MGAM",0.234587774576366,0,0.129901678949243,0,0,0.0143569049700887,0.443268462553722,0
"MGAM2",0.733989078395734,0,0.260413439721832,0,0.133598188235499,0.227297974164256,0,0
"MGARP",0,0,1.41786270311399,0,0.131335523329839,0.243761866286169,0,0
"MGAT1",34.5706490288433,17.6605248150174,50.6304546795872,98.5722138123286,33.1568877157635,40.59492040751,70.1018684523831,36.9732934947879
"MGAT2",134.915021917196,90.9263698227237,351.275318266891,182.100543296722,228.584532461529,336.936098114216,275.709861840877,273.152657198195
"MGAT3",0,0,0.377752820680701,1.51403360551756,0.92726020194919,2.45163752220603,0.475074687546366,0
"MGAT4A",0,0.151245611411975,5.43739463417245,0.463135154988246,2.85164069266985,1.92230527388552,0.509331789377825,0.563751077032578
"MGAT4B",23.361986308938,66.7828917139767,56.6920448870667,18.4207201216349,69.3133020815051,65.7285498845452,0,13.7919692936825
"MGAT4C",0,0,0,0,0,0.000646728635615682,0.0574234583172274,0
"MGAT4D",0.0241055102152153,0,0,0.702685840564235,0,0,0,0
"MGAT5",1.56636058507742,1.55693856217514,2.49982950103868,0.467195334470211,4.94056966257577,4.19059873014999,1.05232617279934,0.939655139288714
"MGAT5B",0,0.110708062301288,0.882523383383723,0,0.352848717619941,0.160240423145425,0,0
"MGLL",1.65393534330237,0.633238685643943,1.23826412295814,1.01919986696708,1.04755060571372,2.22428026377142,0.693595260816266,0.633430498100581
"MGME1",12.5758181789205,12.4014055494305,20.7766367990992,1.06407774259395,18.9915222941241,16.8232521099445,0,11.5188868095389
"MGMT",1.64525028807792,1.43615423083802,1.01590770509026,1.08619032574963,2.16999125230752,2.325903935717,0.603300624847827,1.06788544692769
"MGP",128.413910377429,151.3716176875,413.162190018297,126.495339637592,78.1580952255234,1090.49154879241,10.3887994167908,275.208294660381
"MGRN1",30.5384273395849,5.19157268877786,25.6947995079971,86.3129086637978,11.8425974290496,14.7326781877445,120.181698778465,77.8311763745161
"MGST1",0,3.62219089671453,0.653504422967122,0,0.380422417214247,1.6518623456367,0.153917240696269,0
"MGST2",5.33119688094043,3.93854074375688,5.5343164883897,4.23496611895655,3.6204020743505,4.56350572431132,2.70582074381164,2.98802653704393
"MGST3",1.50381401414875,17.332755121773,30.9743575094601,4.32034666958255,25.5404069169609,38.7745798853711,1.84684483312355,2.97798901258328
"MIA",0,4.76474714961695,4.42346124616375,22.1434541805258,6.63781694939544,21.6087954078615,8.58305939263415,11.9484165594757
"MIA2",0,0.378483756283935,0.461805818441366,0.686172702982944,1.30274541311472,0.530500310076931,0.404180975107162,0
"MIA3",12.0876697005441,4.78909117933348,20.459279966753,16.8959046405764,14.9225854818755,20.7496163290261,10.4276056380812,9.44368024810068
"MIB1",1.43012761665976,2.46429475583095,2.45525831108648,0.958507525540699,2.94421251449015,2.70817637981944,0.704827487414116,0.688832187634963
"MIB2",22.9895902398952,30.5936329093153,27.4848607417709,4.93114497899195,18.4442427549328,19.7178803633577,11.8305111336834,19.9642365526135
"MICA",3.24709133249522,13.1284637506219,15.2109923053002,7.23095858693947,14.1396997696876,16.1071955206357,18.9488909409688,2.82802185923051
"MICAL1",48.9363397830956,16.1045669544777,63.8370230942179,139.927791828718,67.4083100791878,64.0941853273041,113.343606927814,71.3767620609074
"MICAL2",5.4666185511823,3.65169807495837,1.24757036268607,0.193076018173354,0.731287464138559,0.762666022565887,0.936899458531293,2.89347488762954
"MICAL3",4.63336763311821,1.07276800229861,0.857040548512813,1.74322154988687,0.846987139125801,1.19830995226907,0.819836518738713,1.46195253574476
"MICALL1",28.6987417318871,44.0918278140095,9.85378936222171,2.58729516599207,7.75100453251003,7.46967951133235,0,11.2512070524488
"MICALL2",2.74855295793545,14.9890139650069,6.52491054845926,13.6994127088517,12.1298589136022,12.3436302359242,17.0273928388043,6.64679932039891
"MICB",0,4.35876241434207,56.4106718581366,29.1735742804561,14.5895118171264,16.387756750932,13.1286447704471,21.3642114318071
"MICOS10",1.07903397010211,0.312094902970068,0.8986919139929,0.927644893129148,0.711110987972478,0.561717179805396,2.67528480765981,2.96694255782553
"MICOS10-NBL1",1.68350672530316,0.0606538143669915,0.518045985969033,0,0,0,0.933940996090795,0
"MICOS13",231.473046779503,243.493362570473,107.490862366547,308.739998383369,143.377851951083,248.390045045744,121.321837656983,157.708452422353
"MICU1",0.880736574745515,0.982072842411707,1.57202035516236,0.505216992705455,1.62687133798315,1.4788545794283,0.311790791639462,0
"MICU2",1.56512522234064,2.74636452891456,4.66883941495393,1.68150703794126,5.90184860412217,5.24130647338052,1.28203588971936,3.5120604947981
"MICU3",0.496245699346339,0.964096672846061,0.0386953835420027,0.00725101377618175,2.02585957897469,1.46090871269546,0.30809738351174,2.18799171400455
"MID1",0.536413150922708,0.364621973797243,0.212939955092092,0,0.0634000596727826,0.152973631350164,0.255267934956359,1.34893873762094
"MID1IP1",224.78331523457,190.785262118535,188.74937280706,242.264009646964,193.461322852926,190.068895448698,34.9404314647032,219.769732850641
"MID2",0,1.42876713700476,1.35977862607627,0.535743647653361,0.947570961563684,1.05738652562408,0.419134110779381,0.194635549884747
"MIDEAS",4.8950833782272,4.63726545625878,4.49901154057205,2.0892339057082,3.82436248727959,4.72700558446257,1.01217182278231,1.45936002886114
"MIDN",642.235938469724,109.082114560395,269.469286980554,619.397295651328,157.80477804588,182.691807712059,624.458099831846,555.621431793322
"MIEF1",20.5072181857513,8.73706843638316,11.0948247954544,10.0991856201431,12.8371694942395,10.8439269446895,7.24286972055175,33.3815573814561
"MIEF2",0,15.445621994325,24.5493026211709,17.1927466513553,20.2591201663273,25.2274770197501,16.4532453269264,13.8427548566897
"MIEN1",0,7.13307922987842,68.5393159334374,20.0465458643751,10.2789183976091,12.9056503470238,78.1296225425568,0
