"","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"GNL1",1,1123,404,358,259,358,570,646,486,405,581
"GNL2",1,29,182,560,723,0,756,702,73,0,123
"GNL3",0,1071,808,1140,838,315,807,1111,581,702,591
"GNL3L",0,613,590,532,789,133,909,633,247,0,140
"GNLY",4809,571,66,265,5748,1658,1108,813,6566,1,6189
"GNMT",801,181,344,28,261,0,12,5,120,709,0
"GNPAT",1,778,840,924,1127,1392,1329,1532,2570,0,2809
"GNPDA1",0,206,72,79,374,147,301,494,0,0,0
"GNPDA2",1,529,271,230,174,206,340,255,0,509,176
"GNPNAT1",1,706,1045,833,355,291,300,280,159,0,91
"GNPTAB",2,856,843,845,1970,2754,1715,2550,1102,1623,835
"GNPTG",0,491,64,77,111,259,61,63,0,607,11
"GNRH1",0,365,334,54,174,217,162,156,128,0,49
"GNRH2",1982,31,409,16,0,0,4,0,67,0,0
"GNRHR",1323,735,0,0,0,0,0,0,7,0,307
"GNS",1,694,152,601,1888,693,2144,2465,187,0,290
"GOLGA1",4379,448,705,197,509,1317,412,621,1762,614,1152
"GOLGA2",0,25,216,379,337,0,202,313,0,0,3
"GOLGA3",1,485,482,277,359,867,244,304,1055,1019,477
"GOLGA4",1,376,217,966,1143,256,1383,1669,204,1,105
"GOLGA5",2,1027,948,2211,1806,479,938,1083,684,561,870
"GOLGA6_Family",531,3106,0,0,0,0,0,0,165,1954,0
"GOLGA6C",0,33,987,23,189,0,0,4,99,1646,622
"GOLGA6L_Family",1910,6507,1387,814,442,370,275,631,205,3391,668
"GOLGA6L_Family_T2",0,4792,0,21,0,0,0,56,149,742,0
"GOLGA6L10_GOLGA6L4",0,4103,273,337,22,0,132,252,52,3122,2
"GOLGA6L2",0,0,0,0,0,0,0,0,99,85,0
"GOLGA6L7",0,0,143,0,98,0,0,0,30,0,0
"GOLGA6L9",2,631,372,372,160,117,117,117,9,604,444
"GOLGA7",4,27,682,874,1391,773,1494,1699,837,0,404
"GOLGA7B",1,507,415,1385,45,0,41,85,0,0,41
"GOLGA8_Family",2429,3975,147,86,100,0,83,185,131,2914,85
"GOLGA8A",1796,58,2514,4224,4776,1624,8792,6955,1601,596,6619
"GOLGA8A_GOLGA8B",3,24,3157,2821,2390,3220,6247,5800,3193,405,7735
"GOLGA8F_GOLGA8G",1954,3690,210,0,77,0,0,0,0,1103,128
"GOLGA8M",0,1356,464,533,329,65,226,496,484,233,912
"GOLGB1",2,738,1141,1286,2475,450,1420,1861,211,0,794
"GOLIM4",3,7,1979,4112,2049,366,715,1345,294,0,229
"GOLM1",334,845,137,434,1046,70,164,358,0,385,251
"GOLPH3",1,980,220,1441,2238,201,2691,2495,75,596,107
"GOLPH3L",0,118,311,503,455,140,491,887,72,0,100
"GOLT1A",2753,405,66,0,41,0,0,0,0,932,0
"GOLT1B",2,376,165,414,412,412,411,519,366,197,297
"GON4L",2,626,1,417,1281,158,1258,1422,170,0,924
"GON7",7558,726,632,288,376,1151,576,460,1100,2206,1176
"GOPC",1,4,316,360,259,512,333,367,186,0,0
"GORAB",236,533,79,229,397,853,433,639,113,0,435
"GORASP1",0,719,271,304,310,523,421,447,577,1285,622
"GORASP2",4,752,669,1486,1863,104,1866,2191,57,100,455
"GOSR1",1,607,445,741,627,927,880,884,744,639,927
"GOSR2",1643,91,1311,628,1411,2894,1251,1651,1704,0,1487
"GOT1",2658,388,350,407,208,390,196,199,140,331,656
"GOT1L1",0,250,84,0,71,0,0,0,173,0,0
"GOT2",1097,702,2275,2148,1402,848,1245,1163,629,1251,1707
"GP1BA",0,920,1,0,133,425,912,1119,257,629,0
"GP1BB",0,350,1,115,40,168,11,148,65,733,0
"GP2",0,1,0,25,35,0,0,0,0,0,0
"GP5",0,540,116,0,18,0,13,20,31,0,0
"GP6",0,424,0,6,0,0,6,9,0,139,0
"GP9",0,980,193,41,46,0,0,0,0,1154,0
"GPA33",1133,931,375,0,0,0,64,52,0,0,0
"GPAA1",0,715,1049,1307,833,325,1125,1362,31,0,190
"GPALPP1",1,624,1,192,322,35,392,394,188,673,199
"GPAM",3,1,318,73,131,217,68,205,166,0,79
"GPANK1",1,648,0,394,694,397,596,675,1267,1520,576
"GPAT2",0,0,0,78,72,0,80,130,241,0,0
"GPAT3",0,633,197,73,103,0,22,38,0,635,0
"GPAT4",2,463,270,184,421,600,584,659,571,0,508
"GPATCH1",0,10,0,62,310,58,240,266,70,0,97
"GPATCH11",0,794,0,63,414,78,133,143,0,0,0
"GPATCH2",1,650,451,797,480,397,890,765,104,0,639
"GPATCH2L",2,953,729,742,845,818,938,1314,790,810,1461
