"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD15",1200.11963728118,-1.70418901931626,1.05202550746794,-1.61991226184048,0.10525112547068,0.399140041585949
"ABHD16A",822.218072535344,0.365557329670178,0.576935394418829,0.633619176785677,0.526329382695874,0.810642878729355
"ABHD17B",677.867369789013,-0.708436853444888,0.480007400903606,-1.47588735530174,0.139974134554854,0.456703171811839
"ABHD17C",216.497082963568,-2.24995294580047,1.69381329468015,-1.32833586373836,0.184067176938204,0.523227185886553
"ABHD18",70.8423816625218,1.15773571821807,1.77289561398876,0.653019675317111,0.513743594247125,NA
"ABHD2",392.658252518484,0.567176033516636,1.14343201286557,0.496029520894055,0.619873583083294,0.856846825596425
"ABHD3",298.15495958975,1.52150568761366,0.733788511125129,2.07349347195518,0.0381263780243582,0.227570852175181
"ABHD4",206.073922347985,0.209473607025312,1.26727874634864,0.165294026771032,0.868712560099346,0.958615644730536
"ABHD5",888.711842491922,-0.705359036692041,0.35927332596847,-1.96329364221697,0.0496120637817383,0.262375497480387
"ABHD6",191.64427597619,0.218920562089405,1.26923665158174,0.172482067718878,0.863058557973385,0.956718772822556
"ABHD8",141.160202129149,0.00278593552613805,1.41046805904305,0.00197518512260973,0.998424031310678,NA
"ABI1",1031.59043250766,0.406785844963803,0.504117294216353,0.806926978365519,0.419708554601622,0.745362514561289
"ABI3",779.029808363445,2.13262632983929,0.804478058182281,2.6509440601251,0.00802671345149391,0.0877959128887969
"ABI3BP",578.889640119106,1.88296005058654,0.903155710717451,2.08486756850682,0.0370813232713426,0.223603930205305
"ABITRAM",229.037481544999,-1.02273828999494,0.753815304690311,-1.35674917135719,0.174860922850625,0.512400623555475
"ABL1",978.001890608183,-1.37087633477237,0.305203060085867,-4.49168607413923,7.06615264401074e-06,0.000466113716401238
"ABLIM1",608.230866998576,-1.8177935876377,0.895157029582519,-2.03069799774177,0.0422856395961646,0.240330879822555
"ABLIM3",343.677715156313,-0.760484338266358,0.893998739658856,-0.850654821455961,0.394961126634691,0.725308115931192
"ABR",1435.97278645995,0.210900755955785,0.521268109161762,0.404591710578514,0.685777652763049,0.88630856689314
"ABRACL",1616.81462594541,1.69672859455565,0.762578369348541,2.22498914571252,0.026081966819053,0.181054031084072
"ABRAXAS2",215.187162417718,-0.257480230395246,1.60759726428395,-0.160164635829939,0.872751386236643,0.960468685750595
"ABTB1",466.395844651608,0.23002470223018,0.736193620152816,0.312451365963254,0.754697518458623,0.91706940365865
"ABTB2",249.661853172924,-2.17568098286782,0.698461983883606,-3.11495977314404,0.0018396999721872,0.0316773338960983
"ACAA1",349.378316706078,0.613482108070246,0.904044746742454,0.678597060909659,0.49739320561076,0.792950904279288
"ACAA2",353.044360767394,2.55098222511367,1.2108186855416,2.1068242963005,0.0351328126354661,0.217355000838084
"ACACA",501.036146772901,-0.722917236312198,0.745743005248307,-0.96939191011452,0.332349687148265,0.676985869200348
