"","cell_type","VSCC_5","VSCC_6","VSCC_4","VSCC_1","VSCC_2","VSCC_3","VSCC_7","VSCC_8"
"14","Common myeloid progenitor",0.00350595981157241,1.09355340216983e-18,1.36230629450942e-18,0,2.22723991382331e-18,0,0.0334427690612909,0.00140341336135852
"15","Myeloid dendritic cell",0.00557475997526868,2.42297283045089e-19,0,0.0213106564935355,8.27408760080877e-19,0.0260193213802956,0.0609853448734068,0.00219874805388287
"16","Endothelial cell",7.38351150876429e-18,0.00473504707791518,0.00612954063594295,0,0,0.0107746942964875,0,1.62768892050583e-19
"17","Eosinophil",2.97901490736516e-18,0,0,2.77989167613779e-18,5.1457316754016e-18,3.84418305468294e-18,0,0
"18","Cancer associated fibroblast",0,0.0229530489329132,0.0515721381901361,0.00975767988164867,0.0451159560645848,0.0803955997321353,1.26069720147758e-18,9.97540650155118e-19
"19","Granulocyte-monocyte progenitor",0,0,0,0,1.3372406059327e-17,4.82820536477557e-18,0,4.46841997808287e-18
"20","Hematopoietic stem cell",0.172663356700638,0.0358259348462905,0,0.127905895606412,0,0.0427650720904355,0.0111874156602445,0.0857152565847717
"21","Macrophage",0,0,0.0419761426048927,0.0636713479994543,0.033736793130764,0.0502902284799545,4.08525868394922e-18,6.25166494459983e-18
"22","Macrophage M1",0,0,0.0187559226651815,0.0428382240262435,0.0219427598499899,0.021763308588477,0.0189027843894218,0.00194365280235522
"23","Macrophage M2",7.23377364897425e-19,0.000133094762758234,0.0541543243288434,0.0440678530656986,0.0259467605173409,0.0486483315136846,0.0311248548624122,0.0294387144658408
"24","Mast cell",0.0138393723624824,0,0.00308791795239143,0,0.00584558078049073,0.0385430348871755,0.00526777167313706,0.0134325110708393
"25","B cell memory",0,2.29410007896647e-19,0.0481398934544491,0.114700693999293,0.131882677499326,0.164787709159511,0.131638118412979,0.0235800392360818
"26","Monocyte",0,0,0.0030324882679526,1.00546347131966e-17,0,0,1.42126360061689e-17,0
"27","B cell naive",6.80908462130005e-19,1.20293660867599e-18,0.0299167466818528,0.0641064730894833,0.107741249143701,0.0765195590427671,0.0120552587845509,0
"28","Neutrophil",6.55334501326432e-05,1.45698254693962e-18,0,4.12448315684683e-18,2.04156558370822e-18,0,0,0
"29","NK cell",1.38164204425158e-17,0,5.81050576320635e-19,0,0,1.58144330551806e-17,0,1.63931778799649e-18
"30","T cell NK",0,4.58162951282894e-18,0.0672602494250383,0.0153926317083361,2.41330402151847e-18,0,0.00448069640046817,0
"31","Plasmacytoid dendritic cell",6.23878035377378e-18,0.000158956593440208,0.12094332347387,0,0.034857127344033,0.0590126795226204,0.107535000991767,8.82559843407883e-18
"32","B cell plasma",0.00392884342216818,5.89648700874874e-20,0.0655346452923638,0,4.09300298288283e-19,0.071474408338845,0.0552873080058977,0.0606742744413907
"33","T cell gamma delta",1.78132129517373e-18,0,1.43802687150952e-17,0,0.0142150039060152,0,0,1.66953368118691e-18
"34","T cell CD4+ Th1",0.00213066691657053,0.0955827183563058,0.14678158371801,0,0.18422751168043,0.121270803388668,0.144474051591094,1.483644605613e-18
"35","T cell CD4+ Th2",0.00579529093394864,1.26444303544315e-17,1.33671957408347e-17,0,6.93889390390723e-18,2.69031890601911e-17,0.0113610859328374,1.56282399693768e-18
"36","T cell regulatory (Tregs)",0.00176274307850509,0,3.75936092808179e-18,1.7799643376956e-17,0,0,0,1.07605295701806e-18
"37","immune score",0.0155653616207674,4.80753076086038e-18,0.227940375510578,0.299031167609587,0.493581563554069,0.499800965896494,0.256355702070266,0.105744087581689
"38","stroma score",3.69175575438214e-18,0.0138440480054142,0.0290309420943903,0.00487883994082433,0.0225579780322924,0.0455851470143114,8.03895654753157e-19,5.80154771102851e-19
"39","microenvironment score",0.0155653616207674,0.0138440480054142,0.256971317604968,0.303910007550411,0.516139541586362,0.545386112910805,0.256355702070266,0.105744087581689
