"","cell_type","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"17","Eosinophil",0.0690715270506732,0.0814906310188317,1.41387977685905e-18,0,0,0,6.96261239102489e-18,0,0,0.0865800738176281,0
"18","Cancer associated fibroblast",0,1.89158877534409e-18,4.1349683268066e-17,0.00165953939781156,0.0372272867451672,0,0.0155469426209066,0.0589606056600527,0,0.205094889342575,0
"19","Granulocyte-monocyte progenitor",7.70629434764456e-18,0.00948672333380813,0,0.0179981629123135,0,0,5.08117724058928e-18,0,0.0716522545750906,3.63689875881416e-17,0
"20","Hematopoietic stem cell",0.0387735252957598,0.158360028765777,0.166782672420249,0.0371149976218546,0,0.124086179550975,0,0.038403440316909,0.00967382275762946,0.33100901117818,0.0842926539489424
"21","Macrophage",1.33939902726493e-19,4.59599470514573e-18,2.83813217302541e-19,0,0.0755745758278221,0.101163477620435,0.0600795118041998,0.0864159458911691,0.012969701385206,7.38545482784831e-20,0.000669009380427384
"22","Macrophage M1",0.0171124895857777,6.21718619450645e-18,1.4691871381798e-20,0.00391488886485115,0.0642548515780825,0.0991959981168286,0.0619739102871023,0.068020844358607,0.0655618234372004,2.57275024253008e-18,0.0306538826261236
"23","Macrophage M2",0.037831204219854,0,0,5.69127078843287e-20,0.0434768926539889,0.031188822873071,0.0168951755451591,0.0384675532058057,0.0197480801248889,0.00951537681615074,0.0226088627156533
"24","Mast cell",0.00159537536484262,0,0.0114863432969159,0,0.00375845358351883,0,0.00543706432252056,0.0370472579451078,0.0038122444984589,1.38792934372075e-21,0.0126777127492404
"25","B cell memory",0.15788925851903,0.198943555581793,0,0,0.0472953401418536,0.114468142197664,0.131494446741506,0.16506478122633,0.130308921448874,2.90065779742264e-17,0.0232602583004685
"26","Monocyte",7.04631704252039e-17,1.11754257754412e-16,1.68732362496034e-18,8.10702732379097e-19,0,3.48560127040114e-18,2.05505072716013e-18,1.16298019234517e-17,0,2.48982429604907e-17,4.86500165426384e-17
"27","B cell naive",0.0141359335027231,0,0,3.03835066877606e-19,0.0304114122346649,0.0646701246872221,0.108102621716013,0.0771456363630386,0.0118432096988993,1.67797400027627e-18,0
"28","Neutrophil",0,0.00135749488979816,0,1.08912417737202e-19,2.7723354470926e-18,0,0,5.04650423915924e-18,2.4916133802684e-19,0,0
"29","NK cell",1.34321026895338e-17,0,8.85078435218867e-17,8.89428788156222e-19,0,4.66023086190403e-17,3.10736204320576e-17,0,1.76891906840194e-18,0,4.08225517717509e-17
"30","T cell NK",0,0.261702768456942,0,4.19554608086048e-18,0.0791478019498266,0.0230354586050162,3.40761937786284e-18,0,0.01899051335078,0.00701251490315857,0
"31","Plasmacytoid dendritic cell",0.0220595238911986,0.183682760746292,3.658957108319e-18,0.000165548607862219,0.119888011648195,1.15130734678166e-19,0.0347223139830005,0.0593512799257803,0.107124170722221,0.0393615381694169,0
