"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UBE2B",358.265653642228,-0.144540640499675,0.673223953567556,-0.214699194426644,0.830001850688663,0.979764350569534
"UBE2C",271.694146557542,-0.497350733690991,0.69617935485087,-0.714400290996175,0.474979692098761,0.919799547988595
"UBE2D1",380.484427169658,1.38515759378545,1.06115121501308,1.30533478564446,0.191778874039115,0.748995470096373
"UBE2D2",382.906686935196,0.838473845903624,1.01995399052254,0.822070263653815,0.411036908385006,0.900786434476448
"UBE2D3",582.103153877658,1.30864248826791,0.95935877953888,1.36408037970624,0.172542269131236,0.725006040507865
"UBE2E1",1680.12732269196,0.567222672417164,1.10888713775245,0.511524259869081,0.608984005461843,0.94497239997004
"UBE2E2",629.08582162166,0.911873173157527,0.723631752343081,1.26013427438049,0.207620927887663,0.762010843450185
"UBE2E3",294.888642673316,-0.709811421509847,1.41855258409937,-0.500377236252052,0.61680947889872,0.947374369086606
"UBE2F",238.575938387103,-1.34646034843201,0.97332274913034,-1.38336471600512,0.16655306372845,0.713818788636685
"UBE2G1",2421.36820767095,-0.238699240080542,0.983341676726918,-0.242742930285493,0.808204548321916,0.977203172753098
"UBE2G2",1543.54819645426,0.254094236668776,0.763436602203125,0.332829518437433,0.739262974862701,0.968648356262779
"UBE2H",1058.46013761335,-0.720894964213005,0.69890085534761,-1.03146956924878,0.302320671404651,0.838722513777526
"UBE2I",809.825512122032,1.39758217423893,1.04078236058681,1.34281885162904,0.179330637608745,0.736565428509317
"UBE2J1",392.85377360816,1.92431996828652,1.05532772712644,1.82343353521684,0.0682377550443249,0.507859740235274
"UBE2J2",70.4811960036603,0.207433406828509,1.59791592025951,0.129814969735592,0.896712819000718,0.98628939909843
"UBE2K",1399.19919656741,-0.0860997686657106,0.69020668707776,-0.124744906529731,0.900725504775847,0.986802979626935
"UBE2L3",245.964094092199,0.586310307916326,1.08675237143811,0.539506812522942,0.589537197552543,0.94497239997004
"UBE2L6",3168.07096837433,0.477728879121302,0.961343345627766,0.49693887339423,0.619232157514589,0.94816813549391
"UBE2M",1461.89339318958,-0.37242860577932,0.658933396239922,-0.565199165658492,0.571938304123559,0.939776127013301
"UBE2N",241.826185598441,-0.183529488845911,0.867027674549584,-0.211676621442625,0.832359328190067,0.979764350569534
"UBE2N_UBE2NL",1094.70294483932,0.369576117430129,0.860091071817455,0.429694167908498,0.667418126398617,0.960282901587804
"UBE2O",315.550046540946,-0.860359163253494,1.23074402540991,-0.699056136361858,0.484516949394853,0.923782657579289
"UBE2Q1",702.405180542049,1.01704417067344,0.579088168207763,1.75628553044197,0.0790396666827136,0.539392390506954
"UBE2Q2",649.118086597559,-0.718277187274669,0.977101481509438,-0.735110119948919,0.462272431562815,0.915236763826011
"UBE2QL1",181.430902261249,-3.04538082115467,1.5523315560267,-1.96181080603009,0.0497845151317558,0.441599718381672
"UBE2R2",666.442174714162,0.506016799598223,0.889290473016296,0.569011830163788,0.569348111607388,0.939208548039547
"UBE2T",160.900442990123,-0.891391503997015,1.34484786309958,-0.662819586107349,0.507446108032339,0.92931498704447
"UBE2V2",210.156543359816,-0.713049734101138,1.21657697134665,-0.586111484020492,0.557800599459568,0.935194611207918
"UBE2Z",1061.01915665036,0.210372336099605,0.617062590499842,0.340925441500506,0.733159711427773,0.968488580329342
"UBE3A",485.12232671349,1.04026147104028,1.2073516680135,0.861606024657138,0.388904354580098,0.889093572058176
"UBE3B",249.075342535561,0.308313290090124,0.952836265316316,0.323574260670875,0.74626037743953,0.969294883741475
"UBE3C",587.47537036386,0.893068050550051,1.01283976300766,0.881746632752705,0.377913837064151,0.884618045726191
"UBE4A",870.487739759656,0.470418307436943,0.941285273117815,0.499761677858592,0.617242897374167,0.947374369086606
"UBE4B",224.227903886646,-0.669489660337553,1.00033305789412,-0.669266755761274,0.503325329325063,0.92931498704447
"UBFD1",224.04766830363,0.843002129399192,1.04236894813514,0.808736801789206,0.418666554851866,0.903411430676848
"UBIAD1",216.866813081407,-0.595123375156608,1.14021265940001,-0.521940683828019,0.601711630651261,0.94497239997004
"UBL3",300.405900231615,0.77532163740222,1.32346121401656,0.585828756589854,0.557990597060446,0.935194611207918
"UBL5",2051.92906797315,-0.0201137120375373,0.785050504574006,-0.0256209147314053,0.979559704001543,0.996914349091811
"UBL7",237.924286505177,0.230313143876825,1.08873449727114,0.211542065080231,0.832464311622575,0.979764350569534
"UBLCP1",490.004328503356,1.00335292035168,0.945208733811654,1.06151465222455,0.288456077690994,0.834681045884212
"UBN1",203.615158854248,1.16230421852291,1.09040473268288,1.06593834718887,0.286451512784146,0.833357943024374
"UBN2",185.236646308746,-0.112743953315955,1.13050592186427,-0.0997287596070555,0.920559667493677,0.988582756213364
"UBOX5",192.451281937103,-0.824823337589999,1.25544607550772,-0.656996229213931,0.51118334106837,0.92931498704447
"UBP1",662.027202028618,1.06640778676234,0.896244430774213,1.18986266485487,0.234100374799562,0.797438518554406
"UBQLN1",482.034099934957,1.06531860712281,1.01299867589629,1.05164856822762,0.292960815936722,0.836820475913104
