"","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"CIP2A",0,4.8176877751792,0,2.62165206711709,4.85758075017459,4.70616629502512,2.18944198200394,1.44880581849623,3.77646430998885,6.4565257298808,5.16567439293597
"CIPC",0,20.2956506254584,2.89991495208999,3.45812690759705,10.084784835966,9.17722953652771,7.11338592007173,6.90692459510997,4.23721424165611,49.5530770337444,16.0030999170865
"CIR1",0.141235840653064,20.9470165164327,2.76890817416236,12.2147642916495,27.159397508942,3.72930866964341,30.5014960332924,17.7918458293629,2.64051588208384,6.54754176505288,4.99346938689377
"CIRBP",0.04829588453468,0.0515314757831668,24.2567573250576,27.812706178311,72.8318187615541,4.09900090473335,64.6727918148022,64.5014346570727,20.0307848992487,0,23.3407933940366
"CISD1",0,38.4330546909245,10.4982654145151,12.6667966010719,27.0808327534416,4.84501281615163,17.5560154897886,15.7292094026941,1.97407349635323,21.3745656271741,0
"CISD2",0.0157007725999539,0,10.6149208061179,7.90551737149431,11.7211414836656,14.9808536251352,13.502402584625,15.024326468246,4.75068688767059,0,5.18400450522498
"CISD3",0,75.7185438601777,0,17.3729865254238,39.8906865857593,0,12.8188545595093,13.2051515286034,1.9524296923913,0,0
"CISH",50.2704871326466,62.0996307910078,70.0093339522509,16.680447469046,21.0633700769674,150.801367683194,18.1920411204215,22.7189748737701,210.472681427898,0,37.912822725141
"CIT",0.00195373292490798,2.22637800972698,0,0.391084018287648,0.179117188781858,0.932074736587791,0.256898879910497,0.289767719530004,2.28387273481305,0,1.45726563105298
"CITED1",0,62.7428081544198,0,0.726849628582149,0,11.0852915325034,0.305762365200177,0.0961693055468452,0,0,0
"CITED2",0,164.709470172217,138.058936323986,134.463233997514,211.935126343644,298.415953052262,173.390149299053,432.775279763688,35.7707337493136,157.088564416152,34.0245576620052
"CITED4",0,247.062916912193,968.827794635985,299.316407347113,44.3929669348254,199.715203616432,30.675821461472,37.0982095948277,26.1597327202627,325.49338337462,505.670556061503
"CIZ1",19.9105304227705,0.499869174067299,30.4332699502945,13.9464013689486,16.5243318087163,23.3142933325119,16.6132468300114,19.9442011519258,32.93461774376,0,30.2476303808467
"CKAP2",0,29.984021510157,2.15857514243998,11.198067959196,7.49697750798362,0,14.0595927023174,8.86091342614106,4.32487911155027,0,0
"CKAP2L",0,19.9104154902907,0.969654976752644,7.0204311859227,0,0,1.95743346542571,0.678480139617163,4.54486109635379,0,1.08520414945214
"CKAP4",0.0225426376321395,9.62115423640414,12.7595250803988,25.3650121682965,6.5058776490605,0,3.10044395251094,5.5375215412262,0.00831814068700667,8.09727690162278,2.85379969575961
"CKAP5",0.00724765666036607,3.01595372852045,4.75436283831154,10.0662026708727,11.5195889807165,4.24762076525833,8.93851828671029,7.90180975728326,1.75437723174671,0.761424283267495,4.64960347238422
"CKB",0.590961012910139,3.27887325760183,25.1903050367268,11.8294268696486,5.08619083601666,0,13.218991047872,13.8214671735042,11.8625829320401,0.473029940078823,0
"CKM",0,25.1754329725404,0,0.560013688876872,0,0,0,0.0324166854865414,0,0,0
"CKMT2",0,7.94234673602178,0,0,0,0,0,0.129063057374556,0,0,0
"CKS1B",0.162764903599261,412.464746247909,40.0926393878488,52.1297474996885,28.0171904077055,9.45188450649851,39.6063119738757,36.5588723555948,0,0,25.1997586994547
"CKS2",1.22286442279314,59.0055231909101,64.8012252483233,112.872662815996,70.673497709867,11.5319749491191,160.282633985592,85.840254204936,15.141338726528,0,0
"CLASP1",0.00120050212824735,1.4833169153613,0.637560331415459,0.746802598632819,2.54713508416172,0.210214800531391,2.22993692970304,2.03390583913243,0.370331575922992,0,0.149924576976849
"CLASP2",0,0.0467374994195127,0.385554462938458,0.710790726507172,0.901512372179172,0.656236591438991,1.61434625193458,1.70584468261547,0.318288656946262,0,1.10962807488137
"CLASRP",0,5.43014601471912,12.4755983725954,12.5669556755872,23.7609482382871,9.1980999162702,16.4292152433078,19.3316367023985,17.8789153023081,0,37.1524401007865
"CLBA1",0,10.0515389912527,6.87919846636416,0.862865224968555,0.935124962236277,0,0.160234313507244,0.66956521515614,0,0,0
"CLC",0,36.89702352441,0,0,0,10.7585891320568,0,0.315112770286061,12.7192254550333,0,54.4332249632193
"CLCA1",0,13.721595381371,0,0,0.746425564186949,0,0.0177341085206462,0,0,14.4403102133529,0
"CLCA2",0.0231113898693534,10.1844732329056,52.1844830193373,52.9529934658186,0.302691407485644,0,0,0,0,0,24.572776720239
"CLCA4",0,3.62796524398981,0,0.975249221883892,0.478170809681339,0,0,0,0,16.1430527044515,0
"CLCC1",0,5.5653286914916,0,1.85610854865951,3.37019197995048,0.32758225845958,2.57695481734251,3.51003829976558,2.52334397357095,0,1.48195475060282
"CLCF1",0.0373860039339295,39.1726534748079,33.2438718471859,8.17445698354813,2.79798271761133,0,4.35088430633014,3.67882904157075,5.68365613443845,0.0748133075376937,9.33789402411505
