"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM106C",3693.12196578717,0.236536403054125,0.0789970370525304,2.99424398533879,0.00275125839734229,0.0299839768734146
"NUP37",1242.17153593693,0.107585336996218,0.0655436082720083,1.64143140471814,0.100707895304731,0.275799709157566
"AHNAK",108624.20660032,-0.209441342970743,0.0982791752584983,-2.13108567934011,0.033082084275876,0.138273421683001
"ZNF655",2881.97181601873,0.00831488366064334,0.0762832300022983,0.109000151938936,0.913202369824124,0.959042963091975
"AFG2B",649.95688596801,-0.0752725325131187,0.0629970139942674,-1.19485873600245,0.232142227248994,0.454733971277413
"ST8SIA4",564.78299131501,0.00310511995300828,0.120948207931185,0.0256731373380494,0.979518050091579,0.990628600446607
"PDCL3",1301.02346883164,0.0408839540840135,0.0596105236414499,0.685851282399825,0.492806893960777,0.694800860310827
"ERI3",2826.76914143055,0.0948995351563389,0.0577644025164209,1.64287227119438,0.100409363225284,0.275209075809345
"INTS15",1401.43496829931,0.0882188696983292,0.057461777018219,1.53526177358487,0.124719539897259,0.313675683524559
"NABP2",1921.06772480055,0.13236105253604,0.0526152864901213,2.51563873097776,0.0118816905225884,0.0738298683781979
"KXD1",1570.08821006349,0.0666144182017915,0.0464653043922651,1.43363783091628,0.151675641814053,0.35187800932241
"ZFYVE21",1405.23711438848,-0.0996653451643126,0.0698380121253601,-1.42709309917659,0.153553061344407,0.354534213430799
"DDX54",4441.99544684074,0.00212005569367905,0.0473646058090229,0.0447603364889651,0.964298340283128,0.983320805239588
"TMEM38A",518.128895754738,0.718416625531519,0.188032285051641,3.82070890291108,0.000133068638157652,0.00436497989610963
"TSEN34",2884.37415457925,0.0769031978622182,0.0602953103578871,1.27544244163856,0.202152684603534,0.419188559991937
"KCTD15",3574.29705423379,-0.143299672374242,0.0727447179586656,-1.96989797191415,0.0488500649274324,0.175350746436352
"SECISBP2",1735.69280222605,-0.00869724943098417,0.0543516664447621,-0.160018082238991,0.87286683019405,0.938798238271369
"REEP5",6321.27562643241,-0.0753511768757576,0.0532797332796007,-1.41425589501979,0.157286781718292,0.359756418347433
"NOC4L",1571.19585241028,0.027687434885455,0.061294636910036,0.451710561987548,0.651477508329735,0.806906460764547
"ALG8",1530.50290022673,-0.0812021842152698,0.0872008854489237,-0.931208253187205,0.351745849497698,0.57586228952457
"PRRG4",7140.27537982016,-0.0645688772203043,0.0960002549680856,-0.672590684699428,0.50120772964941,0.700121260867473
"ASPSCR1",1431.69523283704,0.28000964503324,0.0822781478228771,3.40320792874465,0.000665995759701963,0.0124115227566031
"TMEM223",793.566048801972,0.143075048174572,0.073017915708822,1.9594512769321,0.0500599605830497,0.177772407470146
